STATE,DISTRICT,YEAR,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnaping & Abduction,Kidnaping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnaping & Abduction_Others,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Sexual Harassment,Assault on women with intent to Disrobe,Voyeurism,Stalking,Others,Insult to the Modesty of Women_Total,At Office premises,In places related to work,In Public Transport system,In other Places,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Deaths caused with intent to cause miscarriage,Causing miscarriage without consent of women,Dacoity_Total,Dacoity with Murder,Other Dacoity,Robbery,Arson,HumanTrafficking,Abetment of Suicides of Women,UnNatural Offences,Other IPC Crimes,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986","Commission of Sati Prevention Act, 1987","Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,ITP Under Section 5,ITP Under Section 6,ITP Under Section 7,ITP Under Section 8,ITP Under Other Sections,Other SLL Crimes against Women,Total Crimes against Women,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Uttar Pradesh,Basti,2014,15,0,0,0,15,0,15,0,52,0,0,0,52,0,15,27,19,5,0,3,0,0,0,0,0,0,40,0,13,0,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,35,30,0,0,0,2,0,0,0,0,2,9,250,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,695,42_District_wise_crimes_committed_against_women_2014.csv::695,False,UNIQUE,Basti,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Bijnor,2014,80,0,0,0,80,31,49,44,164,0,0,0,164,0,26,175,114,31,5,25,0,0,0,0,0,0,0,0,19,12,8,0,2,0,2,0,0,2,0,0,0,0,0,0,0,3,72,197,0,0,0,0,0,0,0,0,0,138,942,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,696,42_District_wise_crimes_committed_against_women_2014.csv::696,False,UNIQUE,Bijnor,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Bulandshahar,2014,82,1,0,1,81,27,54,48,228,7,2,0,175,44,55,239,57,43,5,20,114,1,0,0,0,1,0,0,51,9,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,31,365,0,0,0,0,0,0,0,0,0,51,1165,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,697,42_District_wise_crimes_committed_against_women_2014.csv::697,False,UNIQUE,Bulandshahar,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Chandoli,2014,26,1,0,1,25,7,18,3,68,0,0,0,68,0,20,92,60,26,0,6,0,0,0,0,0,0,113,0,4,0,1,0,27,26,1,0,0,0,0,0,0,7,0,0,2,0,28,102,0,0,0,0,0,0,0,0,0,34,527,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,698,42_District_wise_crimes_committed_against_women_2014.csv::698,False,UNIQUE,Chandoli,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Chitrakoot,2014,23,0,0,0,23,0,23,0,34,0,0,0,34,0,23,56,33,21,0,2,0,0,0,0,0,0,12,0,8,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,6,0,81,0,0,0,0,0,0,0,0,0,0,33,281,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,699,42_District_wise_crimes_committed_against_women_2014.csv::699,False,UNIQUE,Chitrakoot,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Deoria,2014,35,0,0,0,35,10,25,5,114,0,0,0,113,1,31,68,2,0,1,4,61,0,0,0,0,0,6,0,7,1,4,0,31,30,1,0,0,0,0,0,0,0,0,0,1,0,108,0,0,0,0,1,0,0,0,0,1,74,486,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,700,42_District_wise_crimes_committed_against_women_2014.csv::700,False,UNIQUE,Deoria,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Etah,2014,54,0,0,0,54,13,41,4,143,137,0,0,6,0,42,114,18,30,1,7,58,2,0,0,0,2,120,0,18,0,4,0,2,0,1,1,0,0,0,0,0,0,0,1,11,0,82,38,0,0,55,0,0,0,0,0,0,91,781,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,701,42_District_wise_crimes_committed_against_women_2014.csv::701,False,UNIQUE,Etah,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Etawah,2014,30,16,0,16,14,0,14,0,122,90,2,0,30,0,31,80,55,18,4,3,0,0,0,0,0,0,104,0,13,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,6,0,115,3,0,0,0,0,0,0,0,0,0,2,510,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,702,42_District_wise_crimes_committed_against_women_2014.csv::702,False,UNIQUE,Etawah,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Faizabad,2014,37,0,0,0,37,4,33,0,117,0,0,0,117,0,13,91,38,6,0,7,40,0,0,0,0,0,8,0,6,0,2,0,2,1,0,1,0,0,0,0,0,3,0,0,0,0,102,106,0,0,6,0,0,0,0,0,0,77,570,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,703,42_District_wise_crimes_committed_against_women_2014.csv::703,False,UNIQUE,Faizabad,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Fatehgarh,2014,19,0,0,0,19,4,15,0,126,0,0,0,126,0,39,38,29,0,1,8,0,0,0,0,0,0,121,0,11,4,4,0,2,0,2,0,0,0,0,0,0,0,0,0,6,0,115,0,0,0,0,0,0,0,0,0,0,15,500,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,704,42_District_wise_crimes_committed_against_women_2014.csv::704,False,UNIQUE,Fatehgarh,DISTRICT_OR_REPORTING_UNIT,VALID
